"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-10-0-1-77",,,,"User:","isucon"
"Cmdline:","dstat -tam --output=dstat.csv",,,,"Date:","22 Aug 2016 23:04:21 JST"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
22-08 23:04:21,4.126,0.763,94.651,0.324,0.0,0.136,2013502.507,556171.148,0.0,0.0,0.0,0.0,486.662,1014.944,161402880.0,31731712.0,391303168.0,463085568.0
22-08 23:04:22,66.667,14.583,11.458,5.729,0.0,1.562,45637632.0,1572864.0,0.0,0.0,0.0,0.0,7831.0,13041.0,217862144.0,32112640.0,416329728.0,381218816.0
22-08 23:04:23,79.082,13.265,4.592,1.020,0.0,2.041,29687808.0,2785280.0,122.0,62.0,0.0,0.0,8328.0,17130.0,231882752.0,32333824.0,435130368.0,348176384.0
22-08 23:04:24,80.711,12.183,3.046,1.523,0.0,2.538,40198144.0,2342912.0,0.0,0.0,0.0,0.0,8250.0,18749.0,241901568.0,32526336.0,456953856.0,316141568.0
22-08 23:04:25,80.303,13.131,2.525,0.505,0.0,3.535,31916032.0,2719744.0,0.0,0.0,0.0,0.0,7720.0,17378.0,248631296.0,32739328.0,478670848.0,287481856.0
22-08 23:04:26,80.412,12.371,2.577,0.515,0.0,4.124,30326784.0,2965504.0,0.0,0.0,0.0,0.0,7937.0,18243.0,259489792.0,32985088.0,495730688.0,259317760.0
22-08 23:04:27,80.208,12.500,3.125,1.562,0.0,2.604,39141376.0,3039232.0,0.0,0.0,0.0,0.0,8606.0,18783.0,274485248.0,33243136.0,515362816.0,224432128.0
22-08 23:04:28,79.899,14.070,2.513,1.508,0.0,2.010,37396480.0,2932736.0,0.0,0.0,0.0,0.0,8189.0,18090.0,282288128.0,33488896.0,538931200.0,192815104.0
22-08 23:04:29,77.551,14.796,2.551,0.510,0.0,4.592,32514048.0,2883584.0,0.0,0.0,0.0,0.0,7322.0,16626.0,296534016.0,33718272.0,558006272.0,159264768.0
22-08 23:04:30,73.711,14.433,3.093,5.155,0.0,3.608,24616960.0,69705728.0,0.0,0.0,0.0,0.0,8267.0,17459.0,301404160.0,34009088.0,571973632.0,140136448.0
22-08 23:04:31,78.173,14.721,2.030,1.523,0.0,3.553,37560320.0,4988928.0,0.0,0.0,0.0,0.0,8799.0,17891.0,311365632.0,34263040.0,591618048.0,110276608.0
22-08 23:04:32,80.711,14.213,1.015,0.508,0.0,3.553,40198144.0,3366912.0,0.0,0.0,0.0,0.0,7314.0,16102.0,324030464.0,34516992.0,615391232.0,73584640.0
22-08 23:04:33,78.866,13.402,3.608,1.546,0.0,2.577,26836992.0,3334144.0,0.0,0.0,0.0,0.0,7070.0,16683.0,332922880.0,34775040.0,614432768.0,65392640.0
22-08 23:04:34,76.650,12.690,4.061,3.046,0.0,3.553,34947072.0,3080192.0,0.0,0.0,0.0,0.0,8095.0,17275.0,344170496.0,35045376.0,586330112.0,81977344.0
22-08 23:04:35,80.612,12.755,2.551,0.0,0.0,4.082,33153024.0,2842624.0,0.0,0.0,0.0,0.0,7200.0,17634.0,353009664.0,35278848.0,583327744.0,75907072.0
22-08 23:04:36,84.925,11.055,1.005,0.503,0.0,2.513,35684352.0,3006464.0,0.0,0.0,0.0,0.0,8446.0,19008.0,362422272.0,35532800.0,580939776.0,68628480.0
22-08 23:04:37,79.592,11.224,4.082,2.551,0.0,2.551,31342592.0,3006464.0,0.0,0.0,0.0,0.0,8772.0,18134.0,372404224.0,35340288.0,562085888.0,77692928.0
22-08 23:04:38,81.538,10.769,3.077,2.051,0.0,2.564,38952960.0,3211264.0,0.0,0.0,0.0,0.0,8200.0,17865.0,381878272.0,35610624.0,563015680.0,67018752.0
22-08 23:04:39,80.102,12.755,3.571,1.020,0.0,2.551,33439744.0,2736128.0,0.0,0.0,0.0,0.0,7707.0,17525.0,389947392.0,35860480.0,544776192.0,76939264.0
22-08 23:04:40,75.758,12.626,2.020,6.061,0.0,3.535,36347904.0,61374464.0,0.0,0.0,0.0,0.0,7215.0,15811.0,402780160.0,36061184.0,526921728.0,81760256.0
22-08 23:04:41,80.808,12.121,3.030,1.010,0.0,3.030,31227904.0,4325376.0,0.0,0.0,0.0,0.0,8264.0,18206.0,411283456.0,36347904.0,529510400.0,70381568.0
22-08 23:04:42,79.798,14.141,2.020,1.010,0.0,3.030,26517504.0,3039232.0,0.0,0.0,0.0,0.0,7904.0,18252.0,413167616.0,36601856.0,531378176.0,66375680.0
